Unnamed: 0,baseMean,log2FoldChange,pvalue,padj
TAS2R30,8.482003879023676,-3.155776814732855,1.3634448843508748e-15,4.002888580626979e-15
DLX6,21.503584241688525,-2.34304762939422,1.5715549583455953e-15,4.598073075583461e-15
PGA4,4.241043565965656,2.5370157258093573,1.5983169100812309e-15,4.673325506680398e-15
TPRXL,42.95855114122127,-1.6566324390215623,1.705020821965884e-15,4.979637634986299e-15
ELOVL2,1415.0601982026762,-1.6489438367259686,1.7169368883964077e-15,5.013623356449982e-15
OGDHL,45.47960840323343,-1.9386483966934889,1.9140939072368774e-15,5.58026012533851e-15
CLIC6,2954.2202011649656,-1.922865550672537,2.05421934262913e-15,5.981972068181939e-15
SULT4A1,53.745514317655214,-1.7038942162128965,2.1497991846603217e-15,6.253200935247984e-15
EGFR-AS1,37.600066791264496,1.6197575463831284,2.1599943573094308e-15,6.280819761393684e-15
LINC01612,1.731907009963634,2.9295858983615184,2.166213368993744e-15,6.296862577875221e-15
DNAH3,31.177450601539427,-1.635187583240152,2.1695789751874103e-15,6.305624413793796e-15
LRRC26,205.05761168080616,-1.57759562358565,2.2078232860273192e-15,6.4115845678061525e-15
SORCS3,9.185482838377672,-2.2850792167910385,2.593984719165486e-15,7.51719344326639e-15
SIX3-AS1,6.3236960232073285,-2.9618107791901096,2.607039075244824e-15,7.553804160534977e-15
STRA8,5.377858556723635,-4.309317991610842,2.815752226173706e-15,8.138830210447967e-15
C7,1001.6709937927548,1.7169426812869797,2.8405183910248488e-15,8.209093575221434e-15
POU3F2,5.695645460640541,-2.153786331717741,2.8495636950145243e-15,8.233908364467089e-15
CLEC4M,2.250823175455767,2.1557451229621987,3.282311247201805e-15,9.464533668614684e-15
BRINP1,129.87341500271265,1.7098461786484491,3.4573853860838696e-15,9.958157843962912e-15
PSORS1C2,16.76490713075153,-1.6874015669729072,3.6297914799487366e-15,1.0448023470676951e-14
C2CD4A,148.07128294037395,-1.9559784069188737,3.72727956668885e-15,1.0718318036003964e-14
DLX2,103.01030528029938,-2.098510809632027,3.7994083980864706e-15,1.0920484429803561e-14
KIRREL2,17.876976420415918,-1.9511680894817467,3.852433104600549e-15,1.1067572787216178e-14
CST9,407.8200176695881,-2.902152979392727,4.290911303770419e-15,1.2309530365284796e-14
MT1H,7.619714587796938,-1.717798322926907,4.421560680691087e-15,1.2674198858517708e-14
HOXB1,6.311530423637803,-2.1136337649745087,4.530578982266126e-15,1.2980474095127471e-14
AKR1C4,2.076437542523031,1.611123293330842,4.722667557392043e-15,1.3528213849089651e-14
PNMT,151.6493380595266,-1.986353090281014,5.168900916963695e-15,1.4783353212304198e-14
OTP,2.005210415293994,-2.8740676167530497,5.310710370981213e-15,1.518167705860871e-14
LINC01152,119.89026579530822,1.903011587286334,5.728226690646642e-15,1.6343981513271322e-14
GUCA1A,3.6947493471554895,-1.5606096421059223,5.906003583322326e-15,1.6843186315819423e-14
MYOG,2.7012965553464072,-2.9146431497170955,6.114251202910002e-15,1.7428772610804938e-14
FER1L6,9.996062632538568,-1.6169215043367802,6.552080853284299e-15,1.8635368335922253e-14
GALR2,2.281535465076701,-1.6314557699935006,8.299444420858756e-15,2.3526892683710823e-14
CDHR4,17.41642432062322,-2.112824674038823,8.451128424108637e-15,2.3934193251610702e-14
MYEOV,264.693126838892,1.7555802286560678,9.915859815281071e-15,2.7994051058118872e-14
SLC16A12-AS1,0.6200450295096871,2.118483441962706,1.0708819853735848e-14,3.019944420170298e-14
CNR2,19.12976371619478,-1.6412419094033734,1.0847651061161416e-14,3.057653952897902e-14
FGF16,13.31587353214892,1.5066740452112393,1.1723142792883247e-14,3.298213770390357e-14
DMRTA2,5.539627528777732,-2.8731012595366234,1.2311071177684131e-14,3.460367500193672e-14
LINC01215,17.573454025979718,-1.6288775964025557,1.2938971628941879e-14,3.6340101253675554e-14
BARX1,40.73826691099595,-1.9254073738906337,1.301151909013842e-14,3.653813748880185e-14
CWH43,45.93894658323098,-2.18699939402284,1.30136148200676e-14,3.653830454252746e-14
EDN3,113.29877566703378,2.353825896682945,1.388677673934032e-14,3.8922886880775176e-14
ARL14,2.9072932251197807,-2.7854505388126563,1.4247162046950517e-14,3.9908066776534517e-14
CITED1,205.73217598789927,1.6894593214462132,1.4278593482832788e-14,3.9989867559848855e-14
TBX10,13.948458469367443,-3.427676919522084,1.7272517957195612e-14,4.8194380691015087e-14
SLC25A48,118.90931029272646,-1.7869756452986774,1.7549432124416223e-14,4.8959423202817896e-14
OLFM3,11.379514566045115,-4.264576623699756,1.913162531306221e-14,5.3290575072584345e-14
ADGB,5.168867201071919,-1.9560548735846977,2.167700717727849e-14,6.018446801625951e-14
LCMT1-AS2,26.58247314813742,-1.7078937414744104,2.2786815689899922e-14,6.315826702804511e-14
PLA2G2D,178.43130301005183,-1.7239459322537705,2.4547387591129764e-14,6.796456147743133e-14
LINC01239,22.645848636028017,1.5270769701706288,2.640441461586911e-14,7.29597807002087e-14
SLC13A2,224.41046209788283,1.8182358907123275,2.6491373987225806e-14,7.318879366078214e-14
PSG9,4.905383162627311,-2.485791942794282,2.7636791656592234e-14,7.62710842026901e-14
ITPK1-AS1,4.68545744759633,-2.662962492114312,2.855854419101913e-14,7.879066988985967e-14
SHH,6.412471469021768,-1.8564232335483883,2.914124658945953e-14,8.034888272914289e-14
MYH6,2.215218312923369,-2.551919905908758,3.1403125889243016e-14,8.650119583236093e-14
GPR158-AS1,2.960794974414181,-3.105315613437691,3.140633586980781e-14,8.650119583236093e-14
TPRG1,2104.645067910624,-1.5546504043993232,3.5374676619302955e-14,9.699948496247393e-14
KLHL1,19.947069576103715,-5.779368681386705,3.5891225424073226e-14,9.837057415756374e-14
GAS2L2,20.244270559619487,1.523094828546651,4.2012476096649766e-14,1.1479699574817781e-13
FAM216B,4.02836493399204,-2.408847259262542,4.249263422341675e-14,1.160559860738189e-13
PLP1,131.57683674502746,1.6132338226575154,4.5453002612731256e-14,1.239338518284227e-13
IFNB1,1.5618954022871137,-2.879907323589681,4.6118206135967344e-14,1.2569032364881501e-13
OBP2A,45.26640306290133,-1.741130923572501,4.6146229987061086e-14,1.257476007422664e-13
KNDC1,138.61594005672694,-1.8339228575300903,4.7260512100075596e-14,1.287253535403395e-13
KRT81,1951.9445489878635,-2.07233999464154,5.186774612760122e-14,1.4088931827333884e-13
F2,1.6269141207083384,-2.18296582382828,5.2208885198962494e-14,1.4179449614199836e-13
CCL24,6.860607227065457,2.077084315915151,5.4954892083392826e-14,1.4911697921433552e-13
TEKT4,8.655541422306632,-1.5237532545927766,6.506522318650294e-14,1.760980942471506e-13
SHANK2-AS1,6.462191619285775,-2.558821503722682,6.720090980122348e-14,1.8176863513312538e-13
SLC15A1,53.64896098815003,-2.127474866670084,6.924426017029585e-14,1.8715454202376695e-13
CYP1A2,0.5157787252356305,2.7168195697257804,6.972459980709099e-14,1.884244305630181e-13
CHRNG,3.445824439020857,-2.2298976914751067,7.026276997812427e-14,1.8985019492357497e-13
DAZL,3.678045289694481,-2.157686543682971,8.129534059033903e-14,2.1900068931887757e-13
FADS6,5.626235281651412,-2.5647327902826995,8.39775146569667e-14,2.260904010509543e-13
GACAT2,7.635698940559425,-2.209118661846892,9.255286330194481e-14,2.4869250959719953e-13
IRX1,399.2889792235816,1.5612494569694324,9.468126592916325e-14,2.542973560594081e-13
CREB3L3,2.413778380552412,-1.7836671341944044,1.0223340157729277e-13,2.741707006281484e-13
IYD,102.15763695578742,-1.8540764724661856,1.1264047712991013e-13,3.01629715209537e-13
PRLH,1.3532657589560322,-2.750944366420044,1.1410377700075373e-13,3.0541142221084797e-13
SLC18A1,4.974939809582661,-2.0046367801478024,1.29439349958845e-13,3.456853245514979e-13
NKX2-3,3.471961892459609,-3.6251230481540406,1.5389298070102916e-13,4.0916515716391577e-13
ZIC4,40.21252306755028,-1.908600868550718,1.5813843307280188e-13,4.202037676674601e-13
NKX2-5,29.26677922526536,-2.838336472248759,1.761280005478143e-13,4.67106243250071e-13
ZIC5,19.92816463235043,-3.114563411413528,1.8329307853984325e-13,4.856062308163217e-13
SAG,7.616323115867834,-1.5460334750396014,1.954201246264753e-13,5.170478791355754e-13
SYP-AS1,6.829886257692243,-1.7064408743677468,1.971069202290922e-13,5.214339638199662e-13
NDP,292.6204051324172,-1.791841065367766,1.999414236309647e-13,5.28776552046283e-13
CTNNA2,16.465157843479513,-2.1637965861474853,2.1693357201178442e-13,5.727863472895024e-13
C10orf67,6.531967467412424,-1.87953750824961,2.1807687756425357e-13,5.757203900269185e-13
MIR133A1HG,9.019238761792757,-2.218184447210716,2.4654884108704336e-13,6.495481433660118e-13
HBZ,0.7077459966853018,1.51516570191113,2.74223507168245e-13,7.203435240267879e-13
UNC93A,2.542286247649732,-2.9666424758539782,2.9974623013126413e-13,7.864667865880104e-13
FCRL1,25.07706100635849,-1.8513007751391224,3.0611976914068005e-13,8.027200259331233e-13
