metric,cancer,head,value,std,arm_tag,run_on,results_dir,command
td-AUC,KIRC,cox,0.7563,0.0372,Kc_noaux_cat,4090,output/f4090/KIRC/Kc_noaux_cat,for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer KIRC --config config/path_coad_scgep.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --alpha_nce 0.0 --balance_residual --beta_match 0.0 --bulk_transform log1p_zscore --deterministic --direct_cox_from_fusion --early_stop_patience 999 --epochs 80 --fusion_type concat_mlp --gamma_mask 0.0 --residual_hfuse_to_bulk --sc_scale 0.1 --select_epoch 60 --discard_ckpt --folds $FOLD --results_dir output/f4090/KIRC/Kc_noaux_cat/fold${FOLD}_run; done
td-AUC,KIRC,deepsurv,0.7516,0.043,sym_ds,4090,output/f4090/KIRC/sym_ds,for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer KIRC --config config/path_coad_scgep.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --balance_residual --bulk_transform log1p_zscore --cell_encoder symmetric --deterministic --early_stop_patience 999 --epochs 80 --residual_hfuse_to_bulk --sc_scale 0.1 --select_epoch 60 --discard_ckpt --folds $FOLD --results_dir output/f4090/KIRC/sym_ds/fold${FOLD}_run; done
td-AUC,KIRC,deephit,0.7452,0.042,noaux_dh,4090,output/f4090/KIRC/noaux_dh,for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer KIRC --config config/path_coad_scgep.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --alpha_nce 0.0 --balance_residual --beta_match 0.0 --bulk_transform log1p_zscore --deterministic --early_stop_patience 999 --epochs 80 --gamma_mask 0.0 --loss_fn deephit --residual_hfuse_to_bulk --sc_scale 0.1 --select_epoch 60 --discard_ckpt --folds $FOLD --results_dir output/f4090/KIRC/noaux_dh/fold${FOLD}_run; done
td-AUC,LGG,cox,0.821,0.0376,noaux_cox,4090,output/f4090/LGG/noaux_cox,for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer LGG --config config/path_coad_scgep.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --alpha_nce 0.0 --balance_residual --beta_match 0.0 --bulk_transform log1p_zscore --deterministic --direct_cox_from_fusion --early_stop_patience 999 --epochs 80 --gamma_mask 0.0 --residual_hfuse_to_bulk --sc_scale 0.1 --select_epoch 60 --discard_ckpt --folds $FOLD --results_dir output/f4090/LGG/noaux_cox/fold${FOLD}_run; done
td-AUC,LGG,deepsurv,0.8161,0.0423,Gd_noaux_s003,4090,output/f4090/LGG/Gd_noaux_s003,for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer LGG --config config/path_coad_scgep.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --alpha_nce 0.0 --balance_residual --beta_match 0.0 --bulk_transform log1p_zscore --deterministic --early_stop_patience 999 --epochs 80 --gamma_mask 0.0 --residual_hfuse_to_bulk --sc_scale 0.03 --select_epoch 60 --discard_ckpt --folds $FOLD --results_dir output/f4090/LGG/Gd_noaux_s003/fold${FOLD}_run; done
td-AUC,LGG,deephit,0.7865,0.0569,lr1e3_dh,4090,output/f4090/LGG/lr1e3_dh,for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer LGG --config config/path_coad_scgep.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --balance_residual --bulk_transform log1p_zscore --deterministic --early_stop_patience 999 --epochs 80 --loss_fn deephit --lr 0.001 --residual_hfuse_to_bulk --sc_scale 0.1 --select_epoch 60 --discard_ckpt --folds $FOLD --results_dir output/f4090/LGG/lr1e3_dh/fold${FOLD}_run; done
td-AUC,LIHC,cox,0.6581,0.0567,s003,A800,output/a800/LIHC/s003,for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer LIHC --config config/path_seetacloud_survival.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --balance_residual --bulk_transform log1p_zscore --deterministic --direct_cox_from_fusion --early_stop_patience 999 --epochs 80 --residual_hfuse_to_bulk --sc_scale 0.03 --select_epoch 60 --discard_ckpt --folds $FOLD --results_dir output/a800/LIHC/s003/fold${FOLD}_run; done
td-AUC,LIHC,deepsurv,0.6669,0.0541,mp_ds,A800,output/a800/LIHC/mp_ds,for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer LIHC --config config/path_seetacloud_survival.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --balance_residual --bulk_transform log1p_zscore --deterministic --epochs 200 --residual_hfuse_to_bulk --sc_scale 0.1 --selection_smoothing_window 1 --discard_ckpt --folds $FOLD --results_dir output/a800/LIHC/mp_ds/fold${FOLD}_run; done
td-AUC,LIHC,deephit,0.6725,0.0525,h_dh,A800,output/a800/LIHC/h_dh,for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer LIHC --config config/path_seetacloud_survival.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --balance_residual --bulk_transform log1p_zscore --deterministic --early_stop_patience 999 --epochs 80 --loss_fn deephit --residual_hfuse_to_bulk --sc_scale 0.1 --select_epoch 60 --discard_ckpt --folds $FOLD --results_dir output/a800/LIHC/h_dh/fold${FOLD}_run; done
td-AUC,LUAD,cox,0.6351,0.0627,Lc_nh4,A800,output/a800/LUAD/Lc_nh4,"for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer LUAD --config config/path_seetacloud_survival.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --alpha_nce 0.0 --balance_residual --beta_match 0.0 --bulk_encoder light_mlp --bulk_mlp_dropout 0.1 --bulk_mlp_hidden 2048,1024 --bulk_transform log1p_zscore --deterministic --direct_cox_from_fusion --early_stop_patience 999 --embed_dim 512 --epochs 80 --fusion_type concat_mlp --gamma_mask 0.0 --num_heads 4 --residual_hfuse_to_bulk --sc_scale 0.003 --select_epoch 60 --discard_ckpt --folds $FOLD --results_dir output/a800/LUAD/Lc_nh4/fold${FOLD}_run; done"
