sample/cell_type,B-cells,CAFs,Cancer Epithelial,Endothelial,Myeloid,Normal Epithelial,PVL,Plasmablasts,T-cells
TCGA-D8-A13Z-01A-11R-A115-07,0.052966795322814,0.2775737868532907,0.0719581965929957,0.0678948313733751,0.1427596345705376,0.2476823163724943,0.0165653156892256,0.0129239287216586,0.1096751945036079
TCGA-AC-A7VB-01A-11R-A352-07,0.0096630533050181,0.094773774247233,0.6600727550784738,0.1051444149964903,0.023522723802245,0.0,0.097545971778869,0.0050929287904798,0.0041843780011907
TCGA-AN-A0XN-01A-21R-A109-07,0.0043619750655038,0.6583779374404832,0.0507229781839911,0.0606904456635187,0.1305816811614013,0.0,0.055862147433028,0.0,0.0394028350520738
TCGA-GM-A2DN-01A-11R-A180-07,0.0161913808079435,0.1556553714787373,0.096423447652615,0.0696724332781602,0.1173939550686039,0.1502869568052656,0.0584579850129842,0.0628230213084558,0.2730954485872343
TCGA-AO-A12G-01A-11R-A10J-07,0.0054946285235234,0.2841600549658962,0.3672265742946963,0.1324796096934173,0.0544114213710874,0.0,0.1028048429183256,0.0,0.0534228682330536
TCGA-BH-A0B9-01A-11R-A056-07,0.0237547770559341,0.115512908837383,0.093164460783172,0.0093086180209381,0.0959825757341724,0.358780428828059,0.0511949056081816,0.0183647351807945,0.2339365899513648
TCGA-C8-A273-01A-11R-A16F-07,0.0,0.345308287008033,0.4112826678899972,0.1029988263314816,0.0536136957763109,0.0,0.0355925095704552,0.0350816112688304,0.0161224021548914
TCGA-AR-A1AY-01A-21R-A12P-07,0.0022098879915667,0.2576051262995066,0.1201306965188609,0.0899293808839677,0.0994342927927179,0.3802234563531255,0.0352466916178902,0.0,0.0152204675423641
TCGA-AR-A1AO-01A-11R-A12P-07,0.0357530758002413,0.2973260953782941,0.0,0.1041347081353783,0.2475264200099095,0.0952450532623021,0.0088513421056516,0.0,0.2111633053082227
TCGA-E9-A1RC-01A-11R-A157-07,0.0138998833188589,0.3926045458681094,0.4371557497445703,0.0450940942046834,0.0427994498495938,0.0,0.042454815705073,0.0259914613091107,0.0
