gene_id,baseMean,log2FoldChange,pvalue,padj,symbol
ENSG00000167779.7,95123.15427611509,3.1038240885033557,2.3184734558946977e-52,2.7551448803029443e-50,ENSG00000167779.7
ENSG00000175445.14,614838.4984982068,4.218044703367961,2.6476097713983154e-52,3.125573009077064e-50,ENSG00000175445.14
ENSG00000108106.13,108197.17162364097,-2.7448775324575894,6.320397972683257e-52,7.412628838027997e-50,ENSG00000108106.13
ENSG00000160957.12,165163.75622402018,-2.834224799205735,6.968784612745079e-52,8.119991629292059e-50,ENSG00000160957.12
ENSG00000138778.11,117360.85601891021,-2.719504945617655,1.010654170681213e-51,1.1700115121744313e-49,ENSG00000138778.11
ENSG00000106462.10,141232.0833989905,-2.3541363595209104,1.997725799883048e-51,2.2850644168934994e-49,ENSG00000106462.10
ENSG00000261742.5,5310.904265485406,-4.516416189479817,1.9993040205766796e-51,2.2850644168934994e-49,ENSG00000261742.5
ENSG00000137727.12,24333.002597130533,2.91001336012413,2.761113027599811e-51,3.1357855802057605e-49,ENSG00000137727.12
ENSG00000124493.13,51968.44057933985,-5.475420097412164,4.1068089080821566e-51,4.634753399158881e-49,ENSG00000124493.13
ENSG00000170509.11,5093.891559995862,4.749858766808131,6.551603048501895e-51,7.347622818894876e-49,ENSG00000170509.11
ENSG00000171241.8,65776.67914070278,-2.6421077108579394,8.418445853627843e-51,9.382645490527826e-49,ENSG00000171241.8
ENSG00000124743.5,19014.694781321337,3.0925275004799784,1.0720140868604532e-50,1.1874210354706156e-48,ENSG00000124743.5
ENSG00000165891.15,32722.103510566772,-3.206783767171607,2.0910777281221853e-50,2.3019815186149993e-48,ENSG00000165891.15
ENSG00000146410.11,23453.122901801642,-2.951370192340006,2.8341830256115553e-50,3.101010988510595e-48,ENSG00000146410.11
ENSG00000065328.16,82250.14452734395,-3.3533142077944897,2.985358089789807e-50,3.2466221553447453e-48,ENSG00000065328.16
ENSG00000174871.10,27903.185820177223,-3.3992243869141596,7.176937054624895e-50,7.758009548686091e-48,ENSG00000174871.10
ENSG00000263155.5,75429.96737588636,3.0467417411874336,1.2893457604396114e-49,1.3853904386424186e-47,ENSG00000263155.5
ENSG00000163545.8,63357.960181991584,-2.185678175823454,1.3999120044545694e-49,1.4952393457102853e-47,ENSG00000163545.8
ENSG00000164283.12,57079.14419079221,-2.952413800638185,1.4703252803703415e-49,1.561154842068959e-47,ENSG00000164283.12
ENSG00000213186.7,308823.7647155843,-1.7491775627953243,1.5768275898609922e-49,1.6643878983803318e-47,ENSG00000213186.7
ENSG00000099260.10,220160.13265747487,2.6120647064016413,3.675395996118726e-49,3.856801506102598e-47,ENSG00000099260.10
ENSG00000189057.10,143278.9145762675,-2.9789943973616007,5.735393489868572e-49,5.983482603616375e-47,ENSG00000189057.10
ENSG00000169241.17,525229.0737248696,-1.9148088917516066,6.970592640501231e-49,7.230075973477115e-47,ENSG00000169241.17
ENSG00000112742.9,95169.30055352832,-3.0025151975019626,1.0861989891449333e-48,1.1201583138630279e-46,ENSG00000112742.9
ENSG00000169744.12,107924.90513576988,2.071254139559624,1.223577209523367e-48,1.2546211112964168e-46,ENSG00000169744.12
